Região,Município,UF,Lat,Long
Sul de Minas,Borda da Mata,MG,-22.2723046,-46.1635323
Sul de Minas,Carvalhos,MG,-22.0005257,-44.4635991
Sul de Minas,Elói Mendes,MG,-21.6097595,-45.5662674
Sul de Minas,Ilicínea,MG,-20.938276,-45.8272437
Sul de Minas,Juatuba,MG,-19.9542738,-44.3414268
Sul de Minas,Ouro Fino,MG,-22.2797829,-46.3722224
Sul de Minas,Prudente de Morais,MG,-19.4744679,-44.1601205
Sul de Minas,São Sebastião do Rio Verde,MG,-22.218018,-44.9774988
Sul de Minas,Vargem Bonita,MG,-20.3284567,-46.3675817
Sul de Minas,Piedade dos Gerais,MG,-20.4704064,-44.22428619999999
Sul de Minas,Botelhos,MG,-21.6473355,-46.3953156
Sul de Minas,Cláudio,MG,-20.4437342,-44.7633922
Sul de Minas,Entre Rios de Minas,MG,-20.6664308,-44.0674936
Sul de Minas,Inconfidentes,MG,-22.3173539,-46.3255461
Sul de Minas,Juruaia,MG,-21.2528166,-46.5766612
Sul de Minas,Pains,MG,-20.3735168,-45.661827
Sul de Minas,Resende Costa,MG,-20.9211492,-44.2372618
Sul de Minas,São Sebastião do Oeste,MG,-20.2750723,-45.0033789
Sul de Minas,Varginha,MG,-21.5560459,-45.4363875
Sul de Minas,São Bento Abade,MG,-21.5833664,-45.0739901
Sul de Minas,Brumadinho,MG,-20.1444039,-44.2015777
Sul de Minas,Conceição da Aparecida,MG,-21.0945451,-46.2030533
Sul de Minas,Esmeraldas,MG,-19.76095,-44.3138014
Sul de Minas,Ingaí,MG,-21.4016692,-44.9187061
Sul de Minas,Lagoa Dourada,MG,-20.9147587,-44.0754448
Sul de Minas,Pará de Minas,MG,-19.8590162,-44.61021
Sul de Minas,Ribeirão das Neves,MG,-19.7664426,-44.0872706
Sul de Minas,São Thomé das Letras,MG,-21.7186096,-44.98185669999999
Sul de Minas,Wenceslau Braz,MG,-22.5357217,-45.3644347
Sul de Minas,São Gonçalo do Pará,MG,-19.9830855,-44.85802150000001
Sul de Minas,Bueno Brandão,MG,-22.4405796,-46.3490648
Sul de Minas,Consolação,MG,-22.5530531,-45.9236744
Sul de Minas,Espírito Santo do Dourado,MG,-22.0479376,-45.951082
Sul de Minas,Ipuiúna,MG,-22.0986608,-46.1898816
Sul de Minas,Lavras,MG,-21.2398506,-44.9983535
Sul de Minas,Paraguaçu,MG,-21.5513436,-45.7342636
Sul de Minas,Ribeirão Vermelho,MG,-21.1876275,-45.0606934
Sul de Minas,São Vicente de Minas,MG,-21.701681,-44.4400504
Sul de Minas,Virgínia,MG,-22.3318502,-45.0905025
Mantiqueira de Minas (Denominação de Origem),Carmo de Minas,MG,-22.1212534,-45.1324378
Mantiqueira de Minas (Denominação de Origem),São Lourenço,MG,-22.1176614,-45.0528089
Mantiqueira de Minas (Denominação de Origem),Dom Viçoso,MG,-22.2535084,-45.1620316
Mantiqueira de Minas (Denominação de Origem),Cachoeira de Minas,MG,-22.3550499,-45.7789365
Mantiqueira de Minas (Denominação de Origem),Campanha,MG,-21.8343864,-45.3990201
Mantiqueira de Minas (Denominação de Origem),Conceição das Pedras,MG,-22.1597396,-45.4549408
Mantiqueira de Minas (Denominação de Origem),Heliodora,MG,-22.0665234,-45.5422214
Mantiqueira de Minas (Denominação de Origem),Lambari,MG,-21.9735146,-45.3484145
Mantiqueira de Minas (Denominação de Origem),Olímpio Noronha,MG,-22.0692038,-45.2628821
Mantiqueira de Minas (Denominação de Origem),Pedralva,MG,-22.2452849,-45.4654762
Mantiqueira de Minas (Denominação de Origem),Pouso Alto,MG,-22.1974601,-44.9729771
Mantiqueira de Minas (Denominação de Origem),São Gonçalo do Sapucaí,MG,-21.8912096,-45.59702129999999
Mantiqueira de Minas (Denominação de Origem),Soledade de Minas,MG,-22.0591074,-45.0431125
Mantiqueira de Minas (Denominação de Origem),Cristina,MG,-22.2102702,-45.2630555
Mantiqueira de Minas (Denominação de Origem),Baependi,MG,-21.9582766,-44.8886254
Mantiqueira de Minas (Denominação de Origem),Brazópolis,MG,-22.473871,-45.6179988
Mantiqueira de Minas (Denominação de Origem),Cambuquira,MG,-21.850171,-45.2974132
Mantiqueira de Minas (Denominação de Origem),Caxambu,MG,-21.9707979,-44.9304508
Mantiqueira de Minas (Denominação de Origem),Conceição do Rio Verde,MG,-21.8804378,-45.0881009
Mantiqueira de Minas (Denominação de Origem),Jesuânia,MG,-21.9980746,-45.2899574
Mantiqueira de Minas (Denominação de Origem),Natércia,MG,-22.1182937,-45.5139642
Mantiqueira de Minas (Denominação de Origem),Paraisópolis,MG,-22.5540138,-45.7799844
Mantiqueira de Minas (Denominação de Origem),Piranguinho,MG,-22.4029088,-45.5339578
